,address,confidence,hid,lat,lng,status
1259,台北市萬華區萬大路１７６號,9,3501191576,25.028123,121.5003917,OK
1260,台北市萬華區萬大路４８６巷５９弄１７號,9,3501191852,25.0199198,121.4956384,OK
1261,台北市萬華區漢口街２段４１－３號,9,3501192037,25.045735,121.507105,OK
1262,台北市萬華區艋舺大道１６８巷７號,9,3501192126,25.0326767,121.4999081,OK
1263,台北市萬華區環河南路２段１９７號,9,3501192144,25.0322564,121.4918339,OK
1264,台北市萬華區昆明街３１２－１號,9,3501192162,25.0359713,121.503318,OK
1265,台北市萬華區莒光路１８７號,9,3501192215,25.0310711,121.5021168,OK
1266,台北市萬華區西園路１段１０９號,9,3501192224,25.0382142,121.4998714,OK
1267,台北市萬華區中華路２段４３４號,9,3501192251,25.027116,121.506486,OK
1268,台北市萬華區萬大路２３６號１、２樓,9,3501192368,25.0265642,121.5003024,OK
1269,台北市萬華區中華路２段１００號,9,3501192395,25.0313695,121.5039859,OK
1270,台北市萬華區廣州街７２號,9,3501192402,25.0364861,121.50297,OK
1271,台北市萬華區莒光路１２５號,9,3501192420,25.030953,121.503783,OK
1272,台北市萬華區中華路２段５９８－４號,9,3501192519,25.0247504,121.5094579,OK
1273,台北市萬華區東園街１７５號,9,3501192528,25.0241819,121.49739,OK
1274,台北市萬華區萬大路１１７號２樓、西藏路２９２號２樓,9,3501192537,25.0294718,121.5005786,OK
1275,台北市萬華區西園路２段１４０巷８號,9,3501192582,25.0304909,121.4958934,OK
1276,台北市萬華區中華路２段３７６－１號,9,3501192608,25.0287898,121.5049942,OK
1277,台北市萬華區寶興街１２１、１２５、１２７號,9,3501192733,25.0252155,121.4948481,OK
1278,台北市萬華區桂林路１１４號,9,3501192779,25.038361,121.4998707,OK
1279,台北市萬華區萬大路２７０號,9,3501192804,25.0258078,121.500286,OK
1280,台北市萬華區武成街６３巷１２弄４９號,9,3501192813,25.0188019,121.494156,OK
1281,台北市萬華區萬大路２８４號,9,3501194166,25.0254883,121.5003061,OK
1282,台北市萬華區萬大路４４６號,9,3501194237,25.0205496,121.4978116,OK
1283,台北市萬華區萬大路４３４號,9,3501194291,25.020801,121.4978983,OK
1284,台北市萬華區萬大路２３４號,9,3501194308,25.0266109,121.5003001,OK
1285,台北市萬華區艋舺大道１２０巷１１弄２２號１樓,9,3501194399,25.0326824,121.5003405,OK
1286,台北市萬華區寶興街１２１、１２５、１２７號,9,3501194424,25.0252155,121.4948481,OK
1287,台北市萬華區中華路２段４２４號,9,3501194451,25.0275451,121.5061149,OK
1288,台北市萬華區貴陽街２段７６號１樓,9,3501194497,25.0397147,121.5038537,OK
1289,台北市萬華區漢中街１５２號,9,3501194522,25.0413549,121.506722,OK
1290,台北市萬華區寶興街７４號、７４－１號１樓,9,3501194559,25.026203,121.49416,OK
1291,台北市萬華區成都路４號２樓、中華路１段１５８號,9,3501194568,25.042211,121.5081148,OK
1292,台北市萬華區梧州街６２號,9,3501194577,25.0357123,121.4974926,OK
1293,台北市萬華區萬大路４２５－１號２、３、４樓,9,3501194595,25.0213575,121.4987688,OK
1294,台北市萬華區萬大路１４４號１樓,9,3501194602,25.0288895,121.5003665,OK
1295,台北市萬華區青年路９０號,9,3501194648,25.0230957,121.5025857,OK
1296,台北市萬華區桂林路４７號１樓２樓及地下１樓,9,3501194657,25.0380366,121.5043045,OK
1297,台北市萬華區長沙街２段１１９號,9,3501194693,25.0405279,121.503489,OK
1298,台北市萬華區中華路２段４０.４２號４樓,9,3501194728,25.0328395,121.5048523,OK
1299,台北市萬華區西園路２段２５０號及２５４巷５號４樓,9,3501194746,25.0280431,121.4948197,OK
1300,台北市萬華區青年路３４號,9,3501194835,25.0257241,121.504798,OK
1301,台北市萬華區西門里成都路９７號,9,3501194915,25.04322,121.504515,OK
1302,台北市萬華區萬大路２５７號,9,3501194924,25.0258854,121.5006573,OK
1303,台北市萬華區康定路１９９號,9,3501195038,25.0361883,121.5015083,OK
1304,台北市萬華區梧州街６８號,9,3501195083,25.0355767,121.4974832,OK
1305,台北市萬華區西藏路２６１之３號,9,3501195136,25.0284656,121.4937534,OK
1306,台北市萬華區中華路１段９０號８樓,9,3501195225,25.0446881,121.5084757,OK
1307,台北市萬華區萬大路４３２號,9,3501195234,25.0208529,121.4979358,OK
