,address,confidence,hid,lat,lng,status
1992,台中市大肚區遊園路二段１８８號,9,3536161344,24.1732285,120.5807803,OK
1993,台中市大肚區大肚街３７號,9,3536161353,24.149959,120.5454417,OK
1994,台中市大肚區沙田路２段７８０號５樓,9,3536161362,24.1543305,120.5443515,OK
1995,台中市龍井區龍泉里沙田路五段４５號,9,3536170012,24.1944381,120.5461838,OK
1996,台中市龍井區南寮里遊園南路４５０巷５６號,9,3536170021,24.1850558,120.5852484,OK
1997,台中市龍井區龍東里龍門路４５３號,7,3536170076,24.1786549,120.5322273,OK
1998,台中市龍井區中央路一段２５９號,9,3536170101,24.2024377,120.5234034,OK
1999,台中市龍井區龍東里文昌路４３３號,9,3536170110,24.1782272,120.5303925,OK
2000,台中市龍井區三德里中央路二段１５６號,9,3536170129,24.2071276,120.5237415,OK
2001,台中市龍井區新東里新興路４５之２號,9,3536170138,24.1811253,120.5876955,OK
2002,台中市龍井區龍津里中央路一段２４１巷１弄１號,8,3536170156,24.1982555,120.5197701,OK
2003,台中市龍井區遊園南路１９３號,9,3536170174,24.1817147,120.5841344,OK
2004,台中市龍井區新興路５３之１０號,9,3536170227,24.1815547,120.5863864,OK
2005,台中市龍井區國際街１１１號１樓,9,3536170236,24.1865412,120.595344,OK
2006,台中市龍井區新東里新興路４３號,9,3536170290,24.1811187,120.5876929,OK
2007,台中市龍井區三德里中央路２段１３７號,9,3536170352,24.2065018,120.5234999,OK
2008,台中市龍井區新東里新興路９６２３號,7,3536170398,24.1799683,120.586906,OK
2009,台中市龍井區沙田路５段１２９號１樓,9,3536171420,24.1963708,120.5463725,OK
2010,台中市龍井區藝術街１４２巷１號,9,3536171475,24.188417,120.5911885,OK
2011,台中市龍井區新興路４５－３號,9,3536171484,24.1811253,120.5876955,OK
2012,臺中市龍井區新東里新興路５３－５號１樓、２樓,9,3536171493,24.1815547,120.5863864,OK
2013,台中市龍井區遊園南路３３９、３４１號１-３樓,9,3536171500,24.1783302,120.5827312,OK
2014,台中市霧峰區本堂里四德路４７號,9,3536180018,24.0647226,120.6977289,OK
2015,台中市霧峰區本鄉里草湖路１３號,9,3536180072,24.078295,120.6914894,OK
2016,台中市霧峰區甲寅里中正路１１０６號,9,3536180107,24.0694049,120.6993226,OK
2017,台中市霧峰區大同路１號,9,3536180134,24.0618343,120.6990485,OK
2018,台中市霧峰區錦榮里中正路８８２號,9,3536180161,24.0644768,120.6987052,OK
2019,台中市霧峰區民權街５２號,9,3536180170,24.0665743,120.7004066,OK
2020,台中市霧峰區萊園路１５６號,3,3536180198,24.0442951,120.734995,OK
2021,台中市霧峰區四德路４０８號　　　　　　,9,3536180223,24.0644529,120.67739,OK
